original,translate
Monk's Journal,Monk's Journal
We’re working long hours into the night to deal with the recent influx of corpses,We’re burning the candle at both ends to deal with the recent influx of corpses
What compels these people to act so cruelly?,What compels these people to act so cruelly?
Yesterday we had the corpse of a young boy of no more than 12 years come in,Yesterday we had the corpse of a young boy of no more than twelve winters come in
He had been beaten to death by the looks of it,The marks on his body indicate he was bludgeoned to death
"Sacred dead preserve me - were it not for the calling, I’m not sure I would have persevered",May the Sacred Dead preserve me and give me the strength to persevere
A glimmer of light,A glimmer of light
"Brother Aruun came running up from the crypt, so frightened he had pissed his robes","Brother Aruun came running up from the crypt, so frightened he had pissed his robes"
He claimed he saw something move down in the crypt,He claimed he saw something move down in the crypt
Something “unnatural,something “unnatural
"We laughed till we fell over and by the end, so did he","We laughed till we fell over; and by the end, so did he"
No doubt he saw one of the rats but it’s funny where the mind wanders when sleep becomes scarce,"No doubt he saw one of the rats, but it’s funny where the mind wanders when sleep becomes scarce"
Something is wrong in the village!,Something is wrong in the village!
They say some kind of riot has broken out,They say some kind of riot has broken out
Hierophant Leios said Driina has gone to investigate and that we monks should stay in the crypt for our own safety,"Hierophant Leios said Driina has gone to investigate, and that we monks should stay in the crypt for our own safety"
We try to pass the time with work but I wish we knew what was happening,"We try to pass the time with work, but I wish we knew what was happening"
They came from the lower crypts!,They came from the lower crypts!
All are dead save me and brother Aruun!,"All are dead, bar me and brother Aruun!"
We have locked ourselves in the storage room,We have locked ourselves in the storage room
How can this be?,How can this be?
How can such abominations walk?,How can such abominations walk?
There is no light in the afterlife!,There is no light in the afterlife!
Only black stars,Only black stars
No water,No water
Aruun did not wake today,Aruun did not wake today
I dare not leave this room - I hear them outside,I dare not leave this room - I hear them outside
I too shall pass,I too shall pass
Black stars beckon,Black stars beckon
A Ragged Note,A Ragged Note
A ragged letter that seems to contain direction of some sort,A ragged letter that seems to contain directions of some sort
Enter the sewers from the harbor through the westernmost outlet,Enter the sewers from the harbour through the westernmost outlet
Follow the chalk arrows on the wall and make your way east past the central cistern and then south,"Follow the chalk arrows on the wall, and make your way east past the central cistern, and then south"
From there you’ll find a stairs going down and into the Rat-Maze,"From there you’ll find a set of stairs going down, leading into the Rat Maze"
"In the maze, go W, S, S, W, W and you’ll find yourself in the Underhalls","In the maze, go W, S, S, W, W and you’ll find yourself in the Underhalls"
Mind your manners while you’re there and be sure to peruse the Black Market,"Mind your manners while you’re there, and be sure to peruse the Black Market"
Surgeon's Journal,Surgeon's Journal
A journal that was kept by the ship surgeon of the Zephyr,A journal that was kept by the ship surgeon of the Zephyr
Written on the day of departure from the mainland,Written on the day of departure from the mainland
Left Adler's Helm today with a full complement of passengers,Left for Adler's Helm today with a full complement of passengers bound to Horryn
Mercenaries by the looks of it,"Mercenaries, by the looks of it"
Paid well,"And paid well, at that"
Ship was dispatched by Guild before we could fully restock medical supplies,Ship was dispatched by the Guild before we could fully restock medical supplies
Hopefully we won't need them,"Hopefully, we won't need them"
"Then again, our passengers make me uneasy","Then again, our passengers make me uneasy"
Written 5 days ago,Written 5 days ago
Brawl in mess - had to set nose,Brawl in the mess - had to set a nose
Men seem on edge,The men seem on edge
Can't say I blame them,Can't say I blame them
Have been sleeping poorly and dreams are... unsound,Many have been sleeping poorly and having dreams that are... unsound
Written 4 days ago,Written 4 days ago
Igan came to me today with a bite-wound that he sustained whilst working in the hold,Igan came to me today with a bite-wound that he sustained whilst working in the hold
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,Didn't see creature; I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly
Written two days ago,Written two days ago
Was visited today by navigator Aslam,Was visited today by navigator Aslam
He asked for Whitefern - a sedative,He asked for Whitefern - a sedative
Claimed he had trouble sleeping,Claimed he had trouble sleeping
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'","Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'"
Not sure what he meant and he left before I could push him further,Not sure what he meant and he left before I could push him further
Written today,Written today
Men are about to break,Men are about to break
We cannot maintain our course for Idra,We cannot maintain our course for Idra
Captain advised me today to make ready the surgery and to expect casualties,Captain advised me today to make ready the surgery and to expect casualties
I suspect he intends to inform our passengers that he refuses to land on the island,I suspect he intends to inform our passengers that he refuses to land on the island
If this is my last,If this is my last
The entry trails off,The entry trails off
Caspar's Journal,Caspar's Journal
"A small, leather-bound journal filled with neat handwritten notes","A small, leather-bound journal filled with neat, handwritten notes"
Noted on the inside cover is the name “Caspar of Loral,Noted on the inside cover is the name “Caspar of Loral
About a year ago,About a year ago
Arrived today and was met by the man who is to be my overseer,Arrived today and was met by the man who is to be my overseer
Mathias,Mathias
He seemed nice enough albeit eccentric,"He seemed nice enough, albeit eccentric"
Is this to be my fate as well?,Is this to be my fate as well?
"Woe to me that my wretched life and poor choices has landed me, Caspar of Loral, on this barren rock as the keeper of lights","Woe to me that my wretched life and poor choices has landed me, Caspar of Loral, on this barren rock as Keeper of the Lights"
About six months ago,About six months ago
Saw lights on the shore near the cave entrance,Saw lights on the shore near the cave entrance
Smugglers Mathias say,"Smugglers, Mathias says"
"He insists we leave them alone and I am forced to abide, though my mind wanders often to that cave and what may lay within","He insists we leave them alone and I am forced to abide, though my mind wanders often to that cave and what may lay within it"
About a month ago,About a month ago
I cannot take it any more!,I cannot take it anymore!
The old bastard is driving me mad!,The old bastard is driving me mad!
He spies on me and gives me strange looks,He spies on me and gives me strange looks
And I’m sure he goes through my things!,And I’m sure he goes through my things!
I went for a walk to clear my head and I ended up by the entrance to the sea-cave,I went for a walk to clear my head and I ended up by the entrance to the sea cave
Something is calling me there,Something is calling me there
I hear it even in my sleep,I hear it even in my sleep
About a week before your arrival in Idra,About a week before your arrival in Idra
Dreams driving me mad!,Dreams driving me mad!
Always it calls me to the caves,Always it calls me to the caves
To the deeper dark that lies beneath where no man has tread for eons,"To the deeper dark that lies beneath, where no man has tread for eons"
The looking stone and the ancient sleepers,The looking stone and the ancient sleepers
The blade calls me,The blade calls me
I can take no more,I can take no more
Smuggler's Journal,Smuggler's Journal
A small leather-bound book,A small leather-bound book
I hate these jobs,I hate these jobs
Dropped off and told to guard the cargo until it can be collected,dropped off and told to guard the cargo until it can be collected
And whilst the bastards up in the northern cave are living the good life I’m stuck in this hole,"And whilst the bastards up in the northern cave are living the good life, I’m stuck in this hole"
I sometimes think the Imperial dungeons would be preferable,I sometimes think the Imperial dungeons would be preferable
We explored the cave today and found what appears to be an underwater tunnel in one of the dead-ends,We explored the cave today and found what appears to be an underwater tunnel in one of the dead ends
Bryn insisted we try to swim it but I can think of no worse nightmare than being lost in the dark underwater,"Bryn insisted we try to swim it, but I can think of no worse nightmare than being lost in the dark, underwater"
I told him as much and he got agitated,I told him as much and he got agitated
Yelled something about dreaming of an ancient relic,Yelled something about dreaming of an ancient relic
I have no idea what he’s on about,I have no idea what he’s on about
Golden dead!,Golden dead!
Bryn got attacked by a crab the size of a warhound today!,"Bryn got attacked by a crab the size of a war hound, today!"
Nearly took his leg off!,Nearly took his leg off!
Neither of us have seen anything like it before and we can only pray it was alone!,Neither of us have seen anything like it before and we can only pray it was alone!
Hope the ship won't be delayed much longer,Hope the ship won't be delayed much longer
Bryn is gone,Bryn is gone
I know in my heart he’s gone to the underwater tunnel,I know in my heart he’s gone to the underwater tunnel
Madness!,Madness!
Shapes are moving in the dark now,"Shapes are moving in the dark, now"
No way out and no one is coming for me!,No way out and no one is coming for me!
Light is failing,Light is failing
Mother,Mother
Marita's Cookbook,Marita's Cookbook
A humble cookbook,A humble cookbook
Potatoes - Carrots - Leeks,Potatoes - Carrots - Leeks
All of the above can be found growing in our field,All of the above can be found growing in our field
x Eggs - Potatoes - Onions,x Eggs - Potatoes - Onions
Sea bird eggs will do just fine,Sea bird eggs will do just fine
Onions grow wild in abundance,Onions grow wild in abundance
Cabal Journal,Cabal Journal
A journal that appears to have been written by one of the members of the Cabal expedition,A journal that appears to have been written by one of the members of the Cabal expedition that was dispatched to the Priory
This one was found in the base-camp,This one was found in the base camp
ENTRY,ENTRY
We’ve finally arrived at the Priory and found it in shockingly good condition,We’ve finally arrived at the priory and found it in shockingly good condition
It’s as if time has stood still here,It’s as if time has stood still here
The initial survey does not reveal a clear means of accessing the lower level but I’m confident we’ll find a way given enough time,"The initial survey does not reveal a clear means of accessing the lower level, but I’m confident we’ll find a way given enough time"
This place boggles the mind,This place boggles the mind
It appears to stand as it was left millennia ago,It appears to stand as it was left millennia ago
How it could have slipped so well out of time and history is truly a mystery to me,How it could have slipped so well out of time and history is truly a mystery to me
As is the fate of the Priory’s original occupants,As is the fate of the priory’s original occupants
Still no success in finding the door to the catacombs,Still no success in finding the door to the catacombs
I can only conclude it’s somehow concealed,I can only conclude it’s somehow concealed
"We did, however, make an interesting discovery","We did, however, make an interesting discovery"
The four statues on the “pilgrim’s road” can be rotated,the four statues on the “pilgrim’s road” can be rotated
I’m certain this is somehow significant!,I’m certain this is somehow significant!
Some form of disease is spreading amongst the men,Some form of disease is spreading amongst the men
Abdominal pain and swelling combined with fevers,"Abdominal pain and swelling, combined with fevers"
Our apothecary is so far at a loss at curing it but suggests that proximity to the fungal growths that started sprouting is a potential vector of infection,"Our apothecary is so far at a loss at curing it, but suggests that proximity to the fungal growths that started sprouting is a potential vector of infection"
I’ve ordered that masks be worn near the growths,I’ve ordered that masks be worn near the growths
A breakthrough,A breakthrough
We found a document in the scriptorium with a verse on it!,we found a document in the scriptorium with a verse on it!
It’s so clear now,It’s all so clear now
The portal had been hidden in plain sight all along - all it took to open it was the correct configuration of the statues!,The portal had been hidden in plain sight all along - all it took to open it was the correct configuration of the statues!
The dreaming halls await!,The dreaming halls await!
A journal that appears to have been written by one of the members of the Cabal expedition that was dispatched to the Priory,A journal that appears to have been written by one of the members of the Cabal expedition that was dispatched to the Priory
This one was found on a cocooned corpse in the catacombs,This one was found on a cocooned corpse in the catacombs
We entered the ‘Dreaming Hall’ today,"We entered the ""Dreaming Hall"" today"
I’m awestruck by the mystery of it all,I’m awestruck by the mystery of it all
What secrets did the Sleeper whisper to the monks as they dreamed?,What secrets did the Sleeper whisper to the monks as they dreamed?
We must push on and soon enough we too shall stand before his timeless glory,"We must push on and soon enough, we too shall stand before his timeless glory"
"By the Maiden’s, we found it!","By the Maidens, we found it!"
The tomb in all its glory,The tomb in all its glory
We lost two members to traps trying to enter the room but it’s only a matter of time now,"We lost two members to traps trying to enter the room, but it’s only a matter of time now"
This is a disaster!,This is a disaster!
I know there is something here - calling for us!,I know there is something here - calling for us!
There must be some other way?,There must be some other way?
Several pages are ruined from the fungal infection,Several pages are ruined from the fungal infection
to move in and out of the caves and continue excavating the Eternity Gate,to move in and out of the caves and continue excavating the Eternity Gate
My greatest concern at this point is the rate at which we are losing crew to suicides and infection,My greatest concern at this point is the rate at which we are losing crew to suicides and infection
I saw them change before my very eyes!,I saw them change before my very eyes!
"Oh, blessed Maidens I may have escaped for now but I cannot escape the images that now haunt me","Oh, blessed Maidens; I may have escaped for now, but I cannot escape the images that now haunt me"
"What’s worse, the entire complex is somehow resealing itself and I’m trapped between the false tomb and the surface level","What’s worse, the entire complex is somehow resealing itself, and I’m trapped between the false tomb and the surface level"
I can only pray someone is left alive topside to open the gate,I can only pray someone is left alive topside to open the gate
This one was found on a corpse in the catacombs,This one was found on a corpse in the catacombs
They’ve found the secret passage to some kind of cave below the false tomb,They’ve found the secret passage to some kind of cave below the false tomb
Something far older than the Priory itself,Something far older than the Black Priory itself
Older than the Empire even is the talk around camp,"Older than the Empire even, is the talk around camp"
I just wish my insides didn’t hurt as much,I just wish my insides didn’t hurt as much
They’re sending me down with the next shipment of tools,They’re sending me down with the next shipment of tools
That means passing the ‘night-maze’,"That means passing the ""night maze"""
They say it can’t be lit even by magical lighting,"They say it cannot be lit, even by magical lighting"
I hate the dark,How I loathe the dark
Apparently it’s easy enough to navigate if you know how,"Apparently, it’s easy enough to navigate if you know how"
South until you hit the first wall and then west until wall - north until wall - west until wall - north until wall - west until wall - then north and you’re there,"South, until you hit the first wall; and then west, until wall; north, until wall; west, until wall; north, until wall; west, until wall - then north: and you’re there"
I went all the way to the sanctum this time,I went all the way to the sanctum this time
By the Golden how I wish I had not,"By the Golden, how I wish I had not"
How can such a thing be?,How can such a thing be?
The writing becomes rushed,The writing becomes rushed
Hear screams below,Hear screams below
Something is wrong,Something is wrong
Save us!,Save us!
#Adventuring - Recipes,#Adventuring - Recipes
This recipe requires the following ingredients,This recipe requires the following ingredients
You have now learned how to make this recipe,You have now learned how to make this recipe
APPLE PIE,APPLE PIE
BAKED CRAB,BAKED CRAB
BAKED FISH,BAKED FISH
BAKED MUSHROOMS,BAKED MUSHROOMS
BAKED ONIONS,BAKED ONIONS
BAKED OYSTERS,BAKED OYSTERS
BAKED POTATO,BAKED POTATO
BEEF STEW,BEEF STEW
CHEESE PLATE,CHEESE PLATE
CHEESE SANDWICH,CHEESE SANDWICH
EGGS AND BACON,EGGS AND BACON
FARMER'S OMELETTE,FARMER'S OMELETTE
FISH STEW,FISH STEW
FRIED STEAK,FRIED STEAK
GRILLED LEEKS,GRILLED LEEKS
MASHED POTATOES,MASHED POTATOES
MEAT SKEWERS,MEAT SKEWERS
MUSHROOM OMELETTE,MUSHROOM OMELETTE
MUSHROOM SOUP,MUSHROOM SOUP
PUMPKIN PIE,PUMPKIN PIE
RATION,RATION
ROASTED EEL,ROASTED EEL
SALTED FISH,SALTED FISH
VEGETABLE SOUP,VEGETABLE SOUP
x Apple,x Apple
x Bacon,x Bacon
x Beef,x Beef
x Butter,x Butter
x Carrot,x Carrot
x Cheddar,x Cheddar
x Cream,x Cream
x Cured Ham,x Cured Ham
x Dark Bread,x Dark Bread
x Dried Meat,x Dried Meat
x Eel,x Eel
x Eggs,x Eggs
x Flour,x Flour
x Garlic,x Garlic
x Honey,x Honey
x Leeks,x Leeks
x Lemons,x Lemons
x Morel,x Morel
x Nuts,x Nuts
x Ombarian Wine,x Ombarian Wine
x Onions,x Onions
x Oysters,x Oysters
x Penny Buns,x Penny Buns
x Perklin,x Perklin
x Potatoes,x Potatoes
x Pumpkin,x Pumpkin
x Redman,x Redman
x Salt,x Salt
x Snails,x Snails
x Spices,x Spices
x Steel-Fin,x Steel-fin
x Sugar,x Sugar
x Wyrdloaf,x Wyrdloaf
LESSER ATTUNEMENT TONIC,LESSER ATTUNEMENT TONIC
LESSER TONIC OF VITALITY,LESSER TONIC OF VITALITY
POTION OF ACID RESISTANCE,POTION OF ACID RESISTANCE
POTION OF AGILITY,POTION OF AGILITY
POTION OF BLESS,POTION OF BLESS
POTION OF CURE DISEASE,POTION OF CURE DISEASE
POTION OF CURE POISON,POTION OF CURE POISON
POTION OF ELECTRIC RESISTANCE,POTION OF ELECTRIC RESISTANCE
POTION OF FIRE RESISTANCE,POTION OF FIRE RESISTANCE
POTION OF FORTIFY WILL,POTION OF FORTIFY WILL
POTION OF FRENZY,POTION OF FRENZY
POTION OF REGENERATION,POTION OF REGENERATION
POTION OF SPEED,POTION OF SPEED
POTION OF STONE SKIN,POTION OF STONE SKIN
POTION OF STRENGTH,POTION OF STRENGTH
x Cavechild,x Cavechild
x Chitin,x Chitin
x Cruel Fang,x Cruel Fang
x Egg Cluster,x Egg Cluster
x Emerald King (insect,x Emerald King (insect
x Fellbell,x Fellbell
x Firewing (insect,x Firewing (insect
x Glowman,x Glowman
x Graveroot,x Graveroot
x Gullyfern,x Gullyfern
x Hound Ear,x Hound Ear
x Laughtercap,x Laughtercap
x Legionnaire’s Rest,x Legionnaire’s Rest
x Lizard's Eye,x Lizard's Eye
x Mercury,x Mercury
x Protoplasma,x Protoplasma
x Rat Tail,x Rat’s Tail
x Rotcrawler (insect,x Rotcrawler (insect
x Rotmold,x Rotmould
x Scale,x Scale
x Sorrow-Eater,x Sorrow-Eater
x Spider Silk,x Spider Silk
x Starspawn,x Starspawn
x Sulfur,x Sulphur
x Sunmouth,x Sunmouth
x Tusk,x Tusk
x Venom Gland,x Venom Gland
x Withered Hand,x Withered Hand
#Adventuring - Misc,#Adventuring - Misc
Misc,Misc
Vomit Cups,Vomit Cups
"A bag of highly toxic fungi for Esteban, the alchemist in the Underhalls","A bag of highly toxic fungi for Esteban, the alchemist in the Underhalls"
Bee Smoker,Bee Smoker
A small apparatus that creates smoke,A small apparatus that creates smoke
Used to calm bees before harvesting honey,Used to calm bees before harvesting honey
Cassilda's Song,Cassilda's Song
A folded up piece of paper that has ‘To Camilla - From Cassilda' written on it,"A folded up piece of paper that has ""To Camilla - From Cassilda"" written on it"
Supposedly it contains the words of a song intended for Camilla’s eyes only,"Supposedly, it contains the words of a song intended for Camilla’s eyes only"
A Foul-Smelling Potion,A Foul-Smelling Potion
A bottle of medicine made by Mother Katak to help cure the infection that is spreading through the Idran refugee camp,A bottle of medicine made by Mother Katak to help cure the infection that is spreading through the Idran refugee camp
Firgol Honey,Firgol Honey
A honeycomb retrieved from one of the beehives in Firgol,A honeycomb retrieved from one of the beehives in Firgol
It has a spectacular shade of yellow,It has a spectacular shade of yellow
Vessel,Vessel
A strange vessel that could hold liquid,A strange vessel that could hold liquid
Full Vessel,Full Vessel
A strange vessel containing liquid,A strange vessel now holding an equally strange liquid
Stuffed Animal,Stuffed Animal
"A small, ragged stuffed animal",A scruffy looking stuffed animal
No doubt it should be returned to its owner with all due haste,Clearly much-loved and likely sorely missed. I'm sure the original owner would be glad to be reunited with it
Giant Lizard Egg,Giant Lizard Eggs
Large eggs,Taken from the clutch of a large lizard
Something appears to be moving inside,Something is making noises and appears to be moving inside
Mallet,Mallet
A rounded mallet that seems to have some kind of ceremonial purpose,A rounded mallet that seems to have some kind of ceremonial purpose
Children's Bones,Children's Bones
"The tragic, mold covered, bones of two children",The mould covered bones of two children who met with a tragic end
Lighthouse Oil,Lighthouse Oil
A pitcher full of oil,An amphora full of oil
The kind that might be used for a lighthouse beacon,The kind that might be used for a lighthouse beacon
Nautical Guild Seal,Nautical Guild Seal
"A strange octagonal amulet, richly filegreed and with the navigational roset of the Nautical Guild carved on it","A strange octagonal amulet, richly filigreed with the navigational rosette of the Nautical Guild"
This is apparently an item that the guild will pay handsomely to have returned to them,"This is apparently an item that a suitable buyer will pay handsomely for; be it the guild, a wealthy merchant, or curio collector"
Ledger,Ledger
A ledger containing incriminating information,A ledger containing incriminating information
The Whispering Tablets,The Whispering Tablets
A pair of weathered stone tablets covered in indecipherable writing and grotesque symbols,A pair of weathered stone tablets covered in inscrutable writing and grotesque symbols
The tablet’s condition seems to indicate that it has rested under the sea for a long time,The tablet’s condition seems to indicate that it has rested under the sea for a long time
Did you just hear a whisper?,Did you just hear a whisper?
Rotted Horse Flesh,Rotted Horse Flesh
A large quantity of rotted horse flesh,A large quantity of horse flesh
Utterly inedible to humans but perhaps a treat for some other beastie?,"It’s rancid, foul - completely putrid. It’s utterly inedible for any human, and that’s without the consideration of having to overcome eating one’s companion animal. But… perhaps it’s a treat for some other beastie?"
A Strange Idol,A Strange Idol
A grotesque looking black Idol found in the 'Santa Fury' treasure hoard,"Grotesque” is term you think befitting of the unsettling figure carved into green-black rock: an idol of many mouths, many eyes, and many tentacles. It was found in the treasure hoard of the “Santa Fury"
Sewerjack's Badge,Sewerjack's Badge
A small brass badge belonging to a member of the glorious Imperial Sewer-patrol,A small brass badge belonging to a member of the glorious Imperial Sewer Patrol
It's covered in filth,It's covered in filth
Silver Flute,Silver Flute
A small silver flute that can be used to drain the mercury-pool in the Tower of Ash,A small silver flute that can be used to drain the mercury pool in the Tower of Ash
Telescope,Telescope
A collapsed field-telescope used for stargazing,A collapsed field telescope used for gazing up into the wonders of the night sky
Lotus Petals,Lotus Petals
One of the ingredients needed to craft the ‘Salts of Elthanyr’,Components required to craft the “Salts of Elthanyr”. One of three
Salamander's Horn,Salamander's Horn
Sylversalt,Sylversalt
Salts of Elthanyr,Salts of Elthanyr
A special salt that can apparently be used to unsummon conjured creatures,A luminous and brightly coloured sal that can apparently be used to dismiss conjured creatures
Bring it to Calipero the Magos underneath the Tower of Ash,Bring it to Calipero the Magos underneath the Tower of Ash
#Adventuring - Keys,#Adventuring - Keys
Crypt Key,Crypt Key
A bloodied bronze key that opens something in the crypt under the temple in Horryn,A bloodied bronze key that opens something in the crypt under the temple in Horryn
Surgery Door Key,Surgery Door Key
"A small key that unlocks the door to the surgery on the ""Zephyr",Below the Zephyr's decks lies the surgeon quarters; and this is the small key which unlocks it
Armory Key,Armoury Key
A key that was discovered inside the keep in Horryn,A key that was discovered inside the keep in Horryn.
Black Key,Black Key
A large black key that unlocks something inside the Black Priory,A large black key that unlocks something inside the Black Priory
Smugglers Key,Smugglers Key
A large rusty key that seems like it would open a chest or some other container,A large rusty key that seems like it would open a chest or some other container
You found it on a drowned corpse beneath the lighthouse,You found it on a drowned corpse beneath the lighthouse
#Adventuring - Reagents,#Adventuring - Reagents
Reagent,Reagent
Chitin,Chitin
A thick piece of chitin taken from the exo-skeleton of an unnaturally large creature,A thick piece of chitin taken from the exoskeleton of an unnaturally large creature
"As chitin dries it can be ground into powder, providing a potent alchemical ingredient","As chitin dries it can be ground into powder, providing a potent alchemical ingredient"
Cruel Fang,Cruel Fang
"A slimy, curved fang pulled from the mouth of some sort of overgrown monstrosity","A slimy, curved fang pulled from the mouth of some sort of overgrown monstrosity"
The end is still incredibly sharp,The end is still incredibly sharp
Egg Cluster,Egg Cluster
Not to be mistaken for their smaller and more edible counterparts,"Not to be mistaken for smaller and more edible eggs, as ingesting them can have... undesirable effects upon one's bowel movements"
"Whilst these eggs make for a potent alchemical ingredient, ingesting them in any other way can have…unpleasant effects","In the right hands, however, they can be carefully prepared to form a potent alchemical ingredient"
Emerald King (insect,Emerald King (insect
Called “the King of insects” due to its shimmering emerald scales,"Called the ""King of insects”, due to its shimmering emerald scales"
"Its royal title, however, does not keep it safe from the alchemists and artificers who consider it a prized reagent","Its royal title, however, does not keep it safe from the alchemists and artificers who consider it a prized reagent"
Firewing (insect,Firewing (insect
"Whilst this small insect is a popular alchemical ingredient, its fire-like sting makes it one of the Empire’s most hated pests","Whilst this small insect is a popular alchemical ingredient, its fire-like sting makes it one of the Empire’s most hated pests"
Graveroot,Graveroot
"Often found growing on graves, the roots of this weed are believed to feed on the flesh of the dead","Often found growing on graves, the roots of this weed are believed to feed on the flesh of the dead"
For this reason it is despised by grave-keepers and much sought after by those who dabble in the arcane,For this reason it is despised by gravekeepers and much sought after by those who dabble in the arcane
Gullyfern,Gullyfern
This small fern is often found growing near streams or in the deeper parts of the forest,This small fern is often found growing near streams or in the deeper parts of the forest
"It emits a fresh, pleasant scent","It emits a fresh, pleasant scent"
Hound Ear,Hound Ear
"A large, leathery ear cut from the freshly dead head of some monstrous hound","A large, leathery ear cut from the freshly dead head of some monstrous hound"
A delicate flower that is said to grow on the sites of battles over the graves of dead soldiers,A delicate flower that is said to grow on the sites of battles over the graves of dead soldiers
Lizard's Eye,Lizard's Eye
"They say beauty lies in the eye of the beholder, but the slick goo coating this lizard’s eye gives you some doubts","They say beauty lies in the eye of the beholder, but the slick gloop coating this lizard’s eye gives you some doubts"
"Still, the rarity of reptilians throughout the Empire’s inner cities means it should fetch a decent price","Still, the rarity of reptilians throughout the Empire’s inner cities means it should fetch a decent price"
Mercury,Mercury
"Believed to be at the core of all metals, this liquid element is a commodity amongst alchemists and is as fast working as it is toxic","Believed to be at the core of all metals, this liquid element is a commodity amongst alchemists and is as fast working as it is toxic"
Cavechild,Cavechild
A small pinkish mushroom that is sometimes found in caves,A small pinkish mushroom that is sometimes found in caves
"Though eating it will cause acute vomiting, it is a valuable alchemical agent when used properly","Though eating it will cause acute vomiting, it is a valuable alchemical agent when used properly"
Glowman,Glowman
The Glowman is so called for its faint bioluminescence,The Glowman is so called for its faint bioluminescence
It grows naturally in damp cave-systems and it a commonly used alchemical ingredient,It grows naturally in damp cave systems and it a commonly used alchemical ingredient
Laughtercap,Laughtercap
"Easily recognizable with its red cap and white spots, the Laughtercap is not to be ingested as it is said to cause hysterical laughter and odd visions","Easily recognisable with its red cap and white spots, the Laughtercap is not to be ingested as it is said to cause hysterical laughter and odd visions"
Many an apprentice alchemist has ignored this warning through the ages,Many an apprentice alchemist has ignored this warning through the ages
Protoplasma,Protoplasma
"Whilst this jelly-like substance may look harmless, its properties have been known to create potions just as acidic as the creature it comes from","Whilst this jelly-like substance may look harmless, its properties have been known to create potions just as acidic as the creature it comes from"
"Do not, under any circumstances, ingest","Do not, under any circumstances, ingest"
Rat Tail,Rat’s Tail
Rats are so ubiquitously despised throughout the Empire that certain merchants will pay a bounty for their tails,Rats are so ubiquitously despised throughout the Empire that certain merchants will pay a bounty for their tails
As will certain alchemists,As will certain alchemists
Rotcrawler (insect,Rotcrawler (insect
"Whilst most citizens of the Empire would be disgusted by its presence, this larva-like insect can be useful to those who know what to do with it","Whilst most citizens of the Empire would be disgusted at the very sight of it, this larva-like insect can be useful to those who know what to do with it"
Rotmold,Rotmould
"An aggressive mold known to eat almost any organic material it comes into contact with, this mold has cost more than a few citizens their cheese cellars","An aggressive mould known to eat almost any organic material it comes into contact with, this mould has cost more than a few citizens their cheese cellars"
And pets,And pets
Scale,Scale
"This rare, luminescent scale was likely taken from some sort of giant lizard or sea creature","This rare, luminescent scale was likely taken from some sort of giant lizard or sea creature"
"Whilst it is primarily used as an alchemical ingredient, its beauty makes it a popular ingredient amongst artisans on the Outer Isles","Whilst it is primarily used as an alchemical ingredient, its beauty makes it a popular ingredient amongst artisans on the Outer Isles"
Typically given as a gift to those in grief,Typically given as a gift to those in grief
"It is said that if the plant is placed near your bed it will gorge on your despair, offering some slight respite","It is said that if the plant is placed near your bed it will gorge on your despair, offering some slight respite"
Spider Silk,Spider Silk
"Though it may be light in weight, it is not light in use","Though it may be light in weight, it is not light in use"
This silky ingredient has been used in a variety of potion recipes for centuries and is popular amongst the Empire’s finest alchemists,This silky ingredient has been used in a variety of potion recipes for centuries and is popular amongst the Empire’s finest alchemists
"Unfortunately, the same cannot be said for the creature that spins it","Unfortunately, the same cannot be said for the creature that spins it"
"Named due to an old wives’ tale in which flowers began to grow at the site of a fallen star, this white plant is often given between lovers as a sign of affection","Named due to an old wives’ tale in which flowers began to grow at the site of a fallen star, this white plant is often given between lovers as a sign of affection"
Sulfur,Sulphur
"Sometimes called the Heart of Life by alchemists across the Empire, this element is known to be extremely flammable yet alchemically potent","Sometimes called the Heart of Life by alchemists across the Empire, this element is known to be extremely flammable yet alchemically potent"
Caution is advised,Caution is advised
"Often found growing in areas of direct sunlight, these bright flowers are often used as decoration during the summer solstice","Often found growing in areas of direct sunlight, these bright flowers are commonly used as decoration during the summer solstice"
Tusk,Tusk
A huge tusk pried from the jaws of a monstrous hog,A huge tusk pried from the jaws of a monstrous hog
"For those who are brave or foolish enough to hunt such creatures, this useful alchemical ingredient makes a fine prize","For those who are brave or foolish enough to hunt such creatures, this useful alchemical ingredient makes a fine prize"
Venom Gland,Venom Gland
A rather foul smelling sack removed from some kind of venomous animal,A rather foul smelling sack removed from some kind of venomous animal
The liquid inside does not look much better than it smells,The liquid inside does not look much better than it smells
Do not ingest,Do not ingest
Withered Hand,Withered Hand
"Judging by the rotten scent emitting from this shriveled hand, it was likely cut from the wrist of a freshly risen ghoul","Judging by the rotten scent emitting from this shrivelled hand, it was likely cut from the wrist of a freshly risen ghoul"
"Though desecration of the dead is taboo in Imperial society, the many uses for a ghoul’s flesh nonetheless causes it to fetch a hefty price on the black markets","Though desecration of the dead is highly taboo in Imperial society, the many uses for a ghoul’s flesh nonetheless causes it to fetch a hefty price on the black markets"
Fellbell,Fellbell
